product_id,product_standard_name,merchant,merchant_sku,missing_input,blocked_by
MPL-00104,Light machine oil,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00111,Stable step ladder,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00109,Push broom,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00108,Wire brush and scraper set,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00101,Screen-safe electronics cleaner,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00102,Fireproof Document Box,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00116,Fire extinguisher with gauge,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00117,Stocked first aid kit,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00100,Dryer duct cleaning brush,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00105,Concrete degreaser,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00113,Resin and pitch remover,(none chosen),,"no URL at all; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00106,Oil-absorbent granules,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00099,Washer drum cleaning tablet,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00114,Mineral spirits or brush cleaner,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00112,Plastic scraper set,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00119,Stiff scrubbing brush,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00124,Garden hose,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00122,Long-handled deck scrub brush,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00121,Grill grate scraper or coiled brush,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00123,Fabric-safe outdoor cushion cleaner,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00093,Shelf Location Label Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00014,Water-resistant permanent labels,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00017,Stable household step stool,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00096,Surge Protector with Overload Protection,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00005,Floor-material-compatible cleaner,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00070,Towel Shelf Basket,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00061,Front-Facing Book Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00060,Toy Bin with Picture Label,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00042,Shoe Rack,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00020,Small Clear Lidded Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00027,Drawer Divider Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00090,Min-Max Inventory Label,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00055,Charging Dock,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00092,Floor Boundary Tape,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00062,Laundry Hamper Sorter,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00021,Medium Clear Lidded Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00063,Folding Laundry Basket,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00069,Lockable Medicine Box,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00038,Over-Door Hook Rack,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00056,Remote Control Tray,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00097,Cord Label Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00025,Woven Basket Small,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00007,Small detail brush set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00074,Controller Dock,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00054,Cable Management Kit,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00036,Matching Hanger Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00086,Hose Reel,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00059,Portable Project Tray,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00057,Jewelry and Valet Tray,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00091,FIFO Date Marker,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00075,Board Game Component Bags,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00050,Airtight Food Container Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00066,Leak Tray,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00068,Medicine Bin Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00022,Large Clear Latching Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00033,Shelf Divider,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00026,Woven Basket Large,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00085,Garden Tool Caddy,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00065,Broom and Tool Wall Clips,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00083,Deck Box,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00024,Open Front Bin Medium,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00082,PPE Wall Station,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00039,Wall Hook Rail,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00048,Spice Organizer,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00067,Chemical Storage Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00023,Open Front Bin Small,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00076,Sports Ball Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00044,Umbrella Stand,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00029,Shelf Riser,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00081,Flammable Safety Cabinet,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00058,Document File Box,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00035,Magazine File,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00031,Two-Tier Slide-Out Organizer,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00043,Boot Tray,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00053,Food Date Label Kit,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00080,Material Rack,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00049,Can Riser,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00084,Grill Tool Rack,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00032,Single-Tier Slide-Out Organizer,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00079,Small Parts Drawer Cabinet,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00064,Drying Rack,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00047,Pan and Bakeware Divider,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00073,Toilet Paper Reserve Holder,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00034,Vertical File Sorter,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00095,Drawer Safety Latch,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00040,Pegboard Panel System,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00077,Bike Wall Rack,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00046,Lid Organizer,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00015,Reusable or disposable nitrile gloves,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00037,Slim Non-Slip Hanger Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00041,Adjustable Wall Track System,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00078,Battery Charging Rack,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00071,Shower Caddy,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00072,Shower Squeegee,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00103,Cross-Cut Shredder,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00052,Produce Keeper Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00045,Under-Bed Storage Bin,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00051,Refrigerator Bin Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00030,Turntable 10-12 Inch,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00110,Extendable duster,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00120,Soft clothing brush,(none chosen),,"no URL at all; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00107,Electrical contact cleaner,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00011,Reusable red-tag kit with date field,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00028,Deep Drawer Bin Set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00094,QR Code Label Kit,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00087,Reset Timer,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00089,Micro Zone Audit Card,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00088,Before and After Photo Card,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00018,Anti-tip anchors and hardware,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
