episode_code,room_index,zone_index,room,zone,title,runtime,thumbnail_text,shorts_count,status_script,status_shot,status_edit,status_published,publish_order,notes
MZ-036,R07,R07.02,Primary Bedroom,Your Own Nightstand,"Your Nightstand: Five Things or Fewer, and the Phone Charger Decision",5–7 min,Five Things. Count Them.,6,not started,not started,not started,no,36,
MZ-037,R07,R07.03,Primary Bedroom,The Other Sleeper's Nightstand,"The Shared Bedroom Nightstand: You Clean, They Cull",5–7 min,"You Clean, They Cull",6,not started,not started,not started,no,37,
MZ-038,R07,R07.04,Primary Bedroom,The Dresser Top,"Dresser Top: One Tray, an Anti-Tip Strap, and the Perfume You Never Wear",5–7 min,One Tray Is The Edge,6,not started,not started,not started,no,38,
MZ-039,R07,R07.05,Primary Bedroom,The Dresser Drawers,"Dresser Drawers: One Category Each, Folded to Stand Up",9–12 min,One Category Per Drawer,6,not started,not started,not started,no,39,
MZ-040,R07,R07.06,Primary Bedroom,The Primary Closet,Primary Closet: One Hanger Style and Two Fingers of Space,9–12 min,Two Fingers Of Space,6,not started,not started,not started,no,40,
MZ-041,R08,R08.01,Guest Bedroom,The Guest Bed and Linens,Guest Bed and Linens: Two Sheet Sets That Actually Fit the Mattress,7–9 min,"Two Good Sets, Not Six",6,not started,not started,not started,no,41,
MZ-042,R08,R08.02,Guest Bedroom,The Guest Nightstand,Guest Nightstand: Two Tested Cables and an Empty Drawer,5–7 min,Test The Cable First,6,not started,not started,not started,no,42,
MZ-043,R08,R08.03,Guest Bedroom,The Guest Dresser,Guest Dresser: Emptying Two Drawers and Keeping Them Empty,7–9 min,Reserved. Guest. Empty.,6,not started,not started,not started,no,43,
MZ-044,R08,R08.04,Guest Bedroom,The Guest Closet,Guest Closet: Clearing the Boxes You Have Not Opened Since the Move,9–12 min,Open One Box Today,6,not started,not started,not started,no,44,
MZ-045,R08,R08.05,Guest Bedroom,The Guest Welcome and Work Surface,Guest Room Desk: Sharing a Room With Its Second Job,7–9 min,Name The Second Job,6,not started,not started,not started,no,45,
MZ-046,R09,R09.01,Kids Bedroom,Bed and Sleep Zone,"6S the Kids Bed and Sleep Zone: Thin the Stuffed Animals, Cleat the Blind Cord, Make It in One Pull",7–9 min,Which Animals Actually Sleep Here,6,not started,not started,not started,no,46,
MZ-047,R09,R09.02,Kids Bedroom,Toy Storage Zone,"6S the Toy Storage Zone: Six Open Bins, No Lids, and a Six Week Rotation Box Test",9–12 min,Tipped Out And Abandoned,6,not started,not started,not started,no,47,
MZ-048,R09,R09.03,Kids Bedroom,Study Desk,"6S the Study Desk: One Tray for Live Work, One Box per School Year, One Strip in One Socket",7–9 min,The Pile You Keep Moving,6,not started,not started,not started,no,48,
MZ-049,R09,R09.04,Kids Bedroom,Clothing Closet,"6S the Kids Clothing Closet: Lower the Rod, Run the Size Test, Reverse Every Hanger",9–12 min,Kept For Nobody In Particular,6,not started,not started,not started,no,49,
MZ-050,R09,R09.05,Kids Bedroom,Dresser Drawers,"6S the Kids Dresser: File Fold Upright, Set the Number by Arithmetic, Strap It to the Wall",7–9 min,Only Closes If You Lean,6,not started,not started,not started,no,50,
MZ-051,R09,R09.06,Kids Bedroom,School and Activity Launch Zone,"6S the School Launch Zone: A Five Line List, One Hook Each, and Handing the Packing Over",5–7 min,Who Actually Packs It,6,not started,not started,not started,no,51,
MZ-052,R10,R10.01,Nursery,Crib and Sleep Zone,Crib Reset: One Fitted Sheet and Nothing Else (6S Nursery),5–7 min,One Sheet. Nothing Else.,6,not started,not started,not started,no,52,
MZ-053,R10,R10.02,Nursery,Changing Station,Changing Station Setup: Everything Inside One Arm's Sweep,7–9 min,One Hand Stays On Baby,6,not started,not started,not started,no,53,
MZ-054,R10,R10.03,Nursery,Baby Clothing Zone,"Baby Clothes: One Size Per Drawer, and Outgrown Leaves Today",9–12 min,Keep Two Per Size,6,not started,not started,not started,no,54,
MZ-055,R10,R10.04,Nursery,Feeding Station,Feeding Station: A Clean Bottle in Your Hands at 2 a.m.,7–9 min,Clean Never Meets Used,6,not started,not started,not started,no,55,
MZ-056,R10,R10.05,Nursery,Diaper and Care Backstock,"Diaper Backstock: One Size Ahead, Two Packs Deep",7–9 min,One Size Ahead. Two Packs.,6,not started,not started,not started,no,56,
MZ-057,R10,R10.06,Nursery,Books and Quiet Play Zone,"Nursery Book Ledge: Twelve Covers Out, One Basket at the Rim",5–7 min,Twelve Covers. One Basket.,6,not started,not started,not started,no,57,
MZ-058,R11,R11.01,Primary Bathroom,Vanity Counter,"The Vanity Counter Reset: One Tray, Four Products",5–7 min,One Tray. Bare Counter.,6,not started,not started,not started,no,58,
MZ-059,R11,R11.02,Primary Bathroom,Vanity Drawers,Vanity Drawers: Sorting by Routine and Reading Every Date,7–9 min,Every Jar Gets Read,6,not started,not started,not started,no,59,
MZ-060,R11,R11.03,Primary Bathroom,Under-Sink Cabinet,Under the Sink: Storage That Never Hides a Leak,9–12 min,Keep the Trap Visible,6,not started,not started,not started,no,60,
MZ-061,R11,R11.04,Primary Bathroom,Medicine Cabinet or Wall Storage,"The Medicine Cabinet: In Date, Labeled, Actually Needed",7–9 min,Take It Back Today,6,not started,not started,not started,no,61,
MZ-062,R11,R11.05,Primary Bathroom,Shower or Tub,"Shower and Tub: Four Bottles, One Squeegee, Real Grip",5–7 min,In Use or It Leaves,6,not started,not started,not started,no,62,
MZ-063,R11,R11.06,Primary Bathroom,Toilet Area,The Toilet Area: A Bare Cistern Lid and One Colored Cloth,5–7 min,Nothing Within Splash Range,6,not started,not started,not started,no,63,
MZ-064,R11,R11.07,Primary Bathroom,Linen and Towel Storage,"Bathroom Linen: Three Towels Per Person, Ranked Honestly",7–9 min,Stop Saving the Good Ones,6,not started,not started,not started,no,64,
MZ-065,R12,R12.01,Guest Bathroom,Guest Vanity Counter,Guest Bathroom Vanity Counter: The Three Item Reset,5–7 min,Guest Or Used Bathroom,6,not started,not started,not started,no,65,
MZ-066,R12,R12.02,Guest Bathroom,Guest Vanity Storage,Under the Guest Sink: Two Bins and a Toilet Paper Line,7–9 min,"Keep Four, Bin The Rest",6,not started,not started,not started,no,66,
MZ-067,R12,R12.03,Guest Bathroom,Shower or Tub,Guest Shower Reset: Three Bottles and the Grout You Cannot Clean,7–9 min,"Not Dirt, A Repair",6,not started,not started,not started,no,67,
MZ-068,R12,R12.04,Guest Bathroom,Toilet Area,The Guest Toilet Area: The Brush Is a Consumable,5–7 min,The Brush Is Consumable,6,not started,not started,not started,no,68,
MZ-069,R12,R12.05,Guest Bathroom,Guest Linen Zone,"Guest Towels: One Bundle Per Guest, Built From Your Best",5–7 min,"Good Towels, In Service Today",6,not started,not started,not started,no,69,
MZ-070,R13,R13.01,Laundry Room,Washer and Dryer,"Washer and Dryer Reset: Lint Screen, Door Gasket, and the Dryer Duct",9–12 min,Behind the dryer,6,not started,not started,not started,no,70,
MZ-071,R13,R13.02,Laundry Room,Detergent and Treatment Zone,"Laundry Detergent Shelf Reset: One Product Per Job, Dose Line Marked",7–9 min,One product per job,6,not started,not started,not started,no,71,
MZ-072,R13,R13.03,Laundry Room,Sorting and Hamper Zone,Laundry Sorting System: Hampers That Make a Full Load,7–9 min,Every bag is a load,6,not started,not started,not started,no,72,
MZ-073,R13,R13.04,Laundry Room,Folding Surface,"Laundry Folding Counter Reset: Bare, or Holding One Load",5–7 min,Bare or one load,6,not started,not started,not started,no,73,
MZ-074,R13,R13.05,Laundry Room,Hanging and Air-Dry Zone,"Indoor Drying Rack Reset: In Use, or Folded Flat",5–7 min,In use or folded flat,6,not started,not started,not started,no,74,
MZ-075,R13,R13.06,Laundry Room,Utility and Cleaning Zone,"Broom, Mop and Bucket Storage: Nothing Leans, Nothing Stores Wet",7–9 min,"Nothing leans, nothing stores wet",6,not started,not started,not started,no,75,
MZ-076,R14,R14.01,Home Office,Primary Desk,Home Office Desk Reset: The Full 6S Pass on the Desk Surface,9–12 min,Clear the desk first,6,not started,not started,not started,no,76,
MZ-077,R14,R14.02,Home Office,Desk Drawers and Pedestal,Desk Drawers and the Cable Bag: A 6S Pass on the Drawer You Reach Into Blind,7–9 min,Empty the cable bag,6,not started,not started,not started,no,77,
MZ-078,R14,R14.03,Home Office,File Storage,"File Storage: Sorting Paper Into Keep, Scan, and Shred With a Retention Card",9–12 min,"Keep, scan, or shred",6,not started,not started,not started,no,78,
MZ-079,R14,R14.04,Home Office,Bookshelf and Reference Zone,"Home Office Bookshelf Reset: Reference at Eye Level, Weight Low, Unit Anchored",7–9 min,Reference or display,6,not started,not started,not started,no,79,
MZ-080,R14,R14.05,Home Office,Printer and Scanning Station,"Printer Corner Reset: Clearance, a Paper Min Line, and the Backup Printer Test",7–9 min,Plug it in today,6,not started,not started,not started,no,80,
MZ-081,R14,R14.06,Home Office,Supply Cabinet,Supply Cabinet Reset: Counting the Bulk Buy and Writing Min and Max on the Shelf,7–9 min,Count it out loud,6,not started,not started,not started,no,81,
MZ-082,R15,R15.01,Garage,Primary Workbench,Garage Workbench Reset: Clearing the Bench Down to Bare Wood,9–12 min,"Bare Bench, Vise Only",6,not started,not started,not started,no,82,
MZ-083,R15,R15.02,Garage,Hand Tool Wall and Cabinets,"Hand Tool Wall Reset: Duplicates, Outlines, and the Third Hammer",9–12 min,"Every Tool, One Outline",6,not started,not started,not started,no,83,
MZ-084,R15,R15.03,Garage,Power Tool and Battery Zone,"Power Tool and Battery Shelf Reset: One Shelf Per System, Nothing Left on a Charger",9–12 min,Nothing Sleeps On A Charger,6,not started,not started,not started,no,84,
MZ-085,R15,R15.04,Garage,Automotive Care Zone,"Car Care Shelf Reset: Upright Fluids, Opened Dates, and Bottles for Cars You Sold",7–9 min,Date Every Bottle Opened,6,not started,not started,not started,no,85,
MZ-086,R15,R15.05,Garage,Sports and Recreation Zone,Sports Gear Reset: Bikes Off the Floor and the Kit From the Sport You Stopped Playing,9–12 min,"Two Seasons, Then It Goes",6,not started,not started,not started,no,86,
MZ-087,R15,R15.06,Garage,Lawn and Garden Tool Zone,Garden Tool Zone Reset: Handles Off the Floor and the Latched Chemical Shelf,9–12 min,Name It Or It Goes,6,not started,not started,not started,no,87,
MZ-088,R15,R15.07,Garage,Bulk and Overhead Storage,"Overhead Garage Storage Reset: Every Bin Down, Judged, and Labelled",9–12 min,"Every Bin Down, Then Judged",6,not started,not started,not started,no,88,
MZ-089,R16,R16.01,Workshop,Safety and PPE Station,"Workshop PPE Station: Glasses at the Door, Extinguisher Check, Visitor Set",5–7 min,Gear at the door,6,not started,not started,not started,no,89,
MZ-090,R16,R16.02,Workshop,Main Workbench,"Workshop Bench Reset: Clear the Top, Trace the Tools, Keep It Bare",9–12 min,"Bare bench, one project",6,not started,not started,not started,no,90,
MZ-091,R16,R16.03,Workshop,Power Tool Storage,"Power Tool Storage: Guard Tests, Cord Tests, and the Tool You Never Use",9–12 min,"Guarded, unplugged, complete",6,not started,not started,not started,no,91,
MZ-092,R16,R16.04,Workshop,Fastener and Hardware Zone,"Fastener Wall: One Size Per Compartment, Sample Screw on the Front",7–9 min,One size per compartment,6,not started,not started,not started,no,92,
MZ-093,R16,R16.05,Workshop,Material Rack,"Material Rack: Store Wood Flat, and Set a Size Floor for Offcuts",9–12 min,"Size floor, fill line",6,not started,not started,not started,no,93,
MZ-094,R16,R16.06,Workshop,Finishing and Chemical Zone,"Finishing Cabinet: Dated Lids, Separated Shelves, Rags in a Metal Can",7–9 min,"Dated, separated, lidded",6,not started,not started,not started,no,94,
MZ-095,R17,R17.01,Mudroom,Family Hook Zone,"Mudroom Hook Wall: One Coat, One Bag, One Hat Per Person",9–12 min,One Column Per Person,6,not started,not started,not started,no,95,
MZ-096,R17,R17.02,Mudroom,Bench and Transition Surface,Mudroom Bench: Keeping the Seat Clear and Sorting the Storage Lid,5–7 min,"A Seat, Not Storage",6,not started,not started,not started,no,96,
MZ-097,R17,R17.03,Mudroom,Shoe and Boot Storage,Mudroom Boots: Two Pairs Per Person and Where the Wet Tray Goes,7–9 min,Two Pairs Per Person,6,not started,not started,not started,no,97,
MZ-098,R17,R17.04,Mudroom,Pet Station,"Mudroom Pet Station: Lead, Bags and Towel in One Grab, Treatments Above Reach",5–7 min,"Lead, Bags, Towel, Done",6,not started,not started,not started,no,98,
MZ-099,R17,R17.05,Mudroom,Seasonal Outdoor Gear,"Mudroom Gloves and Hats: One Bin Per Person, One Season in Reach",7–9 min,"One Bag, One Season",6,not started,not started,not started,no,99,
MZ-100,R17,R17.06,Mudroom,Cleaning and Utility Zone,"Mudroom Cleaning Corner: Everything Hangs, Nothing Goes Back Wet",7–9 min,Everything Off The Floor,6,not started,not started,not started,no,100,
MZ-101,R18,R18.01,Hall Closet,Linen Shelf Zone,"Hall Closet Linen Shelf: Three Sheet Sets Per Bed, Counted on the Label",9–12 min,Three sets. One grab.,6,not started,not started,not started,no,101,
MZ-102,R18,R18.02,Hall Closet,Cleaning Equipment Zone,"Hall Closet Cleaning Tools: Handles on a Rail, Vacuum in a Taped Outline",7–9 min,Handles on the rail,6,not started,not started,not started,no,102,
MZ-103,R18,R18.03,Hall Closet,Cleaning Supply Zone,Hall Closet Cleaning Supplies: One Open Bottle Per Job,7–9 min,Eleven bottles. One job.,6,not started,not started,not started,no,103,
MZ-104,R18,R18.04,Hall Closet,Paper and Household Backstock,Hall Closet Backstock: Put a Minimum and a Maximum on the Shelf Edge,7–9 min,Min 6. Max 24.,6,not started,not started,not started,no,104,
MZ-105,R18,R18.05,Hall Closet,Seasonal and Guest Zone,"Hall Closet Top Shelf: Seasonal and Guest Bins, One Bin Per Occasion",9–12 min,One bin per occasion,6,not started,not started,not started,no,105,
MZ-106,R19,R19.01,Stair Landing,Stair and Floor Path,"Stair Reset: Bare Treads, Clear Handrail, Light at Both Ends",7–9 min,"Bare treads, both ends lit",6,not started,not started,not started,no,106,
MZ-107,R19,R19.02,Stair Landing,Landing Surface or Console,"Landing Console Reset: One Stair Basket, Emptied Every Night",5–7 min,"One basket, emptied nightly",6,not started,not started,not started,no,107,
MZ-108,R19,R19.03,Stair Landing,Wall and Display Zone,"Stairway Gallery Wall: Two Hooks, Rated Hardware, and the Press Test",7–9 min,Push up on every frame,6,not started,not started,not started,no,108,
MZ-109,R20,R20.01,Patio or Deck,"Surface, Rail, and Safety Zone","Deck Boards and Railing: Rail Push, Board Probe, and Clearing the Gaps",7–9 min,Test the rail first,6,not started,not started,not started,no,109,
MZ-110,R20,R20.02,Patio or Deck,Outdoor Seating Zone,Patio Chairs and Cushions: The Seat Test and the Speckled Cushion Call,7–9 min,Speckled cushion: last chance,6,not started,not started,not started,no,110,
MZ-111,R20,R20.03,Patio or Deck,Grill and Outdoor Cooking Zone,"Grill Reset: Grease Tray, Burner Tubes, and Weighing the Propane Tank",9–12 min,Weigh the tank,6,not started,not started,not started,no,111,
MZ-112,R20,R20.04,Patio or Deck,Outdoor Dining Zone,"Outdoor Dining Table: Bare Top, One Tray, and the Dishware Decision",5–7 min,"Its own set, or nothing",6,not started,not started,not started,no,112,
MZ-113,R20,R20.05,Patio or Deck,Garden and Plant Care Zone,"Pots, Tools, and the Chemical Shelf: A Patio Plant Care Reset",7–9 min,"Unreadable label, it goes",6,not started,not started,not started,no,113,
MZ-114,R20,R20.06,Patio or Deck,Outdoor Storage Zone,"Deck Box Reset: One Job, Two Labelled Totes, and a Lid That Closes Flat",7–9 min,"Lid closes, or something leaves",6,not started,not started,not started,no,114,
